IDCREDITO,Duracao,HISTORICO,PROPOSITO,Valor,INVESTIMENTOS,EMPREGO,TempoParcelamento,ESTADOCIVIL,FIADOR,ResidenciaDesde,Idade,OUTROSFINANCIAMENTOS,HABITACAO,EmprestimoExistente,PROFISSAO,Dependentes,SocioEmpresa,Estrangeiro,Status
378,7,Atrasos anteriores,reforma,846,"Desconhecido
",>=7,3,masculino solteiro,nao,4,36,nenhum,de graca,1,qualificado,1,0,0,1
379,36,existentes/pagos,veiculo novo,14318,"<100
",>=7,4,masculino solteiro,nao,2,57,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,0
380,6,Critico-outros creditos,veiculo novo,362,100<=X<500,1<=X<4,4,feminino div/dep/cas,nao,4,52,nenhum,proria,2,nao qualificado,1,0,0,1
381,20,existentes/pagos,moveis,2212,"Desconhecido
",4<=X<7,4,masculino solteiro,nao,4,39,nenhum,proria,1,qualificado,1,1,0,1
382,18,existentes/pagos,veiculo usado,12976,"<100
",Desempregado,3,feminino div/dep/cas,nao,4,38,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,0
383,22,existentes/pagos,veiculo novo,1283,"Desconhecido
",4<=X<7,4,feminino div/dep/cas,nao,4,25,nenhum,alugada,1,qualificado,1,0,0,1
384,12,existentes/pagos,veiculo novo,1330,"<100
",<1,4,masculino solteiro,nao,1,26,nenhum,proria,1,qualificado,1,0,0,1
385,30,Atrasos anteriores,abrir negocio,4272,100<=X<500,1<=X<4,2,masculino solteiro,nao,2,26,nenhum,proria,2,nao qualificado,1,0,0,1
386,18,Critico-outros creditos,reforma,2238,"<100
",1<=X<4,2,feminino div/dep/cas,nao,1,25,nenhum,proria,2,qualificado,1,0,0,1
387,18,existentes/pagos,reforma,1126,"Desconhecido
",<1,4,feminino div/dep/cas,nao,2,21,nenhum,alugada,1,qualificado,1,1,0,1
388,18,Critico-outros creditos,moveis,7374,"<100
",Desempregado,4,masculino solteiro,nao,4,40,loja,proria,2,altamente qualificado/empresario,1,1,0,1
389,15,Critico-outros creditos,abrir negocio,2326,500<=X<1000,1<=X<4,2,masculino solteiro,nao,4,27,banco,proria,1,qualificado,1,0,0,1
390,9,existentes/pagos,abrir negocio,1449,"<100
",4<=X<7,3,feminino div/dep/cas,nao,2,27,nenhum,proria,2,qualificado,1,0,0,1
391,18,existentes/pagos,veiculo novo,1820,"<100
",1<=X<4,2,masculino cas/viu,nao,2,30,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
392,12,existentes/pagos,moveis,983,>=1000,<1,1,feminino div/dep/cas,nao,4,19,nenhum,alugada,1,nao qualificado,1,0,0,1
393,36,existentes/pagos,veiculo novo,3249,"<100
",4<=X<7,2,masculino solteiro,nao,4,39,banco,de graca,1,altamente qualificado/empresario,2,1,0,1
394,6,Critico-outros creditos,reforma,1957,"<100
",4<=X<7,1,feminino div/dep/cas,nao,4,31,nenhum,proria,1,qualificado,1,0,0,1
397,12,existentes/pagos,moveis,2578,"<100
",Desempregado,3,feminino div/dep/cas,nao,4,55,nenhum,de graca,1,altamente qualificado/empresario,1,0,0,1
398,36,Critico-outros creditos,moveis,2348,"<100
",1<=X<4,3,masculino cas/viu,nao,2,46,nenhum,proria,2,qualificado,1,1,0,1
399,12,existentes/pagos,veiculo novo,1223,"<100
",>=7,1,maculino div/dep,nao,1,46,nenhum,alugada,2,qualificado,1,0,0,0
400,24,Critico-outros creditos,reforma,1516,>=1000,1<=X<4,4,feminino div/dep/cas,nao,1,43,nenhum,proria,2,nao qualificado,1,0,0,1
401,18,existentes/pagos,reforma,1473,"<100
",<1,3,masculino cas/viu,nao,4,39,nenhum,proria,1,qualificado,1,1,0,1
402,18,Critico-outros creditos,abrir negocio,1887,"Desconhecido
",1<=X<4,4,masculino cas/viu,nao,4,28,banco,proria,2,qualificado,1,0,0,1
403,24,Atrasos anteriores,abrir negocio,8648,"<100
",<1,2,masculino solteiro,nao,2,27,banco,proria,2,qualificado,1,1,0,0
404,14,Atrasos anteriores,veiculo novo,802,"<100
",1<=X<4,4,masculino solteiro,nao,2,27,nenhum,proria,2,nao qualificado,1,0,0,1
405,18,Atrasos anteriores,veiculo novo,2899,"Desconhecido
",>=7,4,masculino solteiro,nao,4,43,nenhum,proria,1,qualificado,2,0,0,1
406,24,existentes/pagos,reforma,2039,"<100
",<1,1,masculino cas/viu,nao,1,22,nenhum,proria,1,qualificado,1,1,0,0
407,24,Critico-outros creditos,veiculo usado,2197,"Desconhecido
",4<=X<7,4,masculino solteiro,nao,4,43,nenhum,proria,2,qualificado,2,1,0,1
408,15,existentes/pagos,reforma,1053,"<100
",<1,4,masculino cas/viu,nao,2,27,nenhum,proria,1,qualificado,1,0,1,1
409,24,existentes/pagos,reforma,3235,500<=X<1000,>=7,3,maculino div/dep,nao,2,26,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
410,12,Critico-outros creditos,veiculo novo,939,500<=X<1000,4<=X<7,4,masculino cas/viu,nao,2,28,nenhum,proria,3,qualificado,1,1,0,0
411,24,existentes/pagos,reforma,1967,"<100
",>=7,4,feminino div/dep/cas,nao,4,20,nenhum,proria,1,qualificado,1,1,0,1
413,12,Critico-outros creditos,abrir negocio,2292,"<100
",Desempregado,4,masculino solteiro,nao,2,42,loja,proria,2,altamente qualificado/empresario,1,1,0,0
414,10,existentes/pagos,veiculo novo,1597,500<=X<1000,1<=X<4,3,masculino solteiro,nao,2,40,nenhum,alugada,1,nao qualificado,2,0,1,1
415,24,existentes/pagos,veiculo novo,1381,"Desconhecido
",1<=X<4,4,feminino div/dep/cas,nao,2,35,nenhum,proria,1,qualificado,1,0,0,0
416,36,Critico-outros creditos,veiculo usado,5842,"<100
",>=7,2,masculino solteiro,nao,2,35,nenhum,proria,2,qualificado,2,1,0,1
417,12,existentes/pagos,veiculo novo,2579,"<100
",<1,4,masculino solteiro,nao,1,33,nenhum,proria,1,nao qualificado,2,0,0,0
418,18,Atrasos anteriores,educacao,8471,"Desconhecido
",1<=X<4,1,feminino div/dep/cas,nao,2,23,nenhum,alugada,2,qualificado,1,1,0,1
419,21,existentes/pagos,veiculo novo,2782,500<=X<1000,4<=X<7,1,feminino div/dep/cas,nao,2,31,banco,proria,1,altamente qualificado/empresario,1,0,0,1
420,18,existentes/pagos,veiculo novo,1042,"Desconhecido
",1<=X<4,4,feminino div/dep/cas,nao,2,33,nenhum,proria,1,qualificado,1,0,0,0
395,9,NULL,moveis,2406,"<100
",Desempregado,2,masculino solteiro,nao,3,31,nenhum,proria,1,altamente qualificado/empresario,1,0,0,1
412,33,Critico-outros creditos,veiculo usado,7253,"<100
",4<=X<7,3,masculino solteiro,nao,2,35,nenhum,proria,2,NULL,1,1,0,1
421,15,existentes/pagos,veiculo novo,3186,>=1000,4<=X<7,2,feminino div/dep/cas,nao,3,20,nenhum,alugada,1,qualificado,1,0,0,1
422,12,existentes/pagos,veiculo usado,2028,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,2,30,nenhum,proria,1,qualificado,1,0,0,1
423,12,Critico-outros creditos,veiculo novo,958,"<100
",4<=X<7,2,masculino solteiro,nao,3,47,nenhum,proria,2,nao qualificado,2,0,0,1
424,21,Atrasos anteriores,moveis,1591,100<=X<500,4<=X<7,4,masculino solteiro,nao,3,34,nenhum,proria,2,altamente qualificado/empresario,1,0,0,1
425,12,existentes/pagos,moveis,2762,"Desconhecido
",>=7,1,feminino div/dep/cas,nao,2,25,banco,proria,1,qualificado,1,1,0,0
426,18,existentes/pagos,veiculo usado,2779,"<100
",1<=X<4,1,masculino cas/viu,nao,3,21,nenhum,alugada,1,qualificado,1,1,0,1
427,28,Critico-outros creditos,reforma,2743,"<100
",>=7,4,masculino solteiro,nao,2,29,nenhum,proria,2,qualificado,1,0,0,1
428,18,Critico-outros creditos,reforma,1149,>=1000,1<=X<4,4,masculino solteiro,nao,3,46,nenhum,proria,2,qualificado,1,0,0,1
429,9,existentes/pagos,moveis,1313,"<100
",>=7,1,masculino solteiro,nao,4,20,nenhum,proria,1,qualificado,1,0,0,1
430,18,Critico-outros creditos,reforma casa,1190,"<100
",Desempregado,2,feminino div/dep/cas,nao,4,55,nenhum,de graca,3,desempregado,2,0,0,0
431,5,existentes/pagos,abrir negocio,3448,"<100
",4<=X<7,1,masculino solteiro,nao,4,74,nenhum,proria,1,nao qualificado,1,0,0,1
432,24,existentes/pagos,outros,11328,"<100
",1<=X<4,2,masculino solteiro,co requerente,3,29,banco,proria,2,altamente qualificado/empresario,1,1,0,0
433,6,Critico-outros creditos,moveis,1872,"<100
",Desempregado,4,masculino solteiro,nao,4,36,nenhum,de graca,3,altamente qualificado/empresario,1,1,0,1
434,24,Critico-outros creditos,reforma casa,2058,"<100
",1<=X<4,4,maculino div/dep,nao,2,33,nenhum,proria,2,qualificado,1,1,0,1
435,9,existentes/pagos,moveis,2136,"<100
",1<=X<4,3,masculino solteiro,nao,2,25,nenhum,proria,1,qualificado,1,0,0,1
436,12,existentes/pagos,reforma,1484,"Desconhecido
",1<=X<4,2,masculino cas/viu,nao,1,25,nenhum,proria,1,qualificado,1,1,0,0
437,6,existentes/pagos,reforma casa,660,500<=X<1000,4<=X<7,2,masculino cas/viu,nao,4,23,nenhum,alugada,1,nao qualificado,1,0,0,1
438,24,Critico-outros creditos,veiculo novo,1287,>=1000,>=7,4,feminino div/dep/cas,nao,4,37,nenhum,proria,2,qualificado,1,1,0,1
439,42,Critico-outros creditos,reforma casa,3394,"<100
",Desempregado,4,masculino solteiro,co requerente,4,65,nenhum,proria,2,desempregado,1,0,0,1
440,12,todos pagos,abrir negocio,609,"<100
",<1,4,feminino div/dep/cas,nao,1,26,nenhum,proria,1,desempregado,1,0,0,0
441,12,existentes/pagos,veiculo novo,1884,"<100
",>=7,4,masculino solteiro,nao,4,39,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
442,12,existentes/pagos,moveis,1620,"<100
",1<=X<4,2,feminino div/dep/cas,co requerente,3,30,nenhum,proria,1,qualificado,1,0,0,1
443,20,Atrasos anteriores,outros,2629,"<100
",1<=X<4,2,masculino solteiro,nao,3,29,banco,proria,2,qualificado,1,1,0,1
444,12,existentes/pagos,educacao,719,"<100
",>=7,4,masculino solteiro,nao,4,41,banco,proria,1,nao qualificado,2,0,0,0
445,48,Critico-outros creditos,moveis,5096,"<100
",1<=X<4,2,feminino div/dep/cas,nao,3,30,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
446,9,Critico-outros creditos,educacao,1244,"Desconhecido
",>=7,4,feminino div/dep/cas,nao,4,41,nenhum,alugada,2,nao qualificado,1,0,0,1
447,36,existentes/pagos,veiculo novo,1842,"<100
",<1,4,feminino div/dep/cas,nao,4,34,nenhum,proria,1,qualificado,1,1,0,0
448,7,existentes/pagos,reforma,2576,"<100
",1<=X<4,2,masculino solteiro,sim,2,35,nenhum,proria,1,qualificado,1,0,0,1
449,12,existentes/pagos,moveis,1424,"Desconhecido
",>=7,3,feminino div/dep/cas,nao,4,55,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
450,15,Atrasos anteriores,reforma casa,1512,>=1000,1<=X<4,3,masculino cas/viu,nao,3,61,loja,proria,2,qualificado,1,0,0,0
451,36,Critico-outros creditos,veiculo usado,11054,"Desconhecido
",1<=X<4,4,masculino solteiro,nao,2,30,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
452,6,existentes/pagos,reforma,518,"<100
",1<=X<4,3,feminino div/dep/cas,nao,1,29,nenhum,proria,1,qualificado,1,0,0,1
453,12,sem creditos/todos pagos,moveis,2759,"<100
",>=7,2,masculino solteiro,nao,4,34,nenhum,proria,2,qualificado,1,0,0,1
454,24,existentes/pagos,veiculo usado,2670,"<100
",>=7,4,masculino solteiro,nao,4,35,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
455,24,existentes/pagos,veiculo novo,4817,"<100
",4<=X<7,2,masculino solteiro,co requerente,3,31,nenhum,proria,1,qualificado,1,1,0,0
456,24,existentes/pagos,veiculo usado,2679,"<100
",<1,4,feminino div/dep/cas,nao,1,29,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
457,11,Critico-outros creditos,veiculo novo,3905,"<100
",1<=X<4,2,masculino solteiro,nao,2,36,nenhum,alugada,2,qualificado,2,0,0,1
458,12,existentes/pagos,veiculo usado,3386,"<100
",>=7,3,masculino solteiro,nao,4,35,nenhum,de graca,1,qualificado,1,1,0,0
459,6,existentes/pagos,quitar divida,343,"<100
",<1,4,feminino div/dep/cas,nao,1,27,nenhum,proria,1,qualificado,1,0,0,1
460,18,existentes/pagos,reforma,4594,"<100
",<1,3,masculino solteiro,nao,2,32,nenhum,proria,1,qualificado,1,1,0,1
461,36,existentes/pagos,moveis,3620,"<100
",1<=X<4,1,masculino solteiro,sim,2,37,nenhum,proria,1,qualificado,2,0,0,1
462,15,existentes/pagos,veiculo novo,1721,"<100
",<1,2,masculino solteiro,nao,3,36,nenhum,proria,1,qualificado,1,0,0,1
463,12,existentes/pagos,moveis,3017,"<100
",<1,3,feminino div/dep/cas,nao,1,34,nenhum,alugada,1,altamente qualificado/empresario,1,0,0,1
464,12,existentes/pagos,qualificacao,754,"Desconhecido
",>=7,4,masculino solteiro,nao,4,38,nenhum,proria,2,qualificado,1,0,0,1
465,18,existentes/pagos,abrir negocio,1950,"<100
",4<=X<7,4,masculino solteiro,nao,1,34,loja,proria,2,qualificado,1,1,0,1
466,24,existentes/pagos,veiculo usado,2924,"<100
",1<=X<4,3,masculino solteiro,sim,4,63,banco,proria,1,qualificado,2,1,0,1
467,24,Atrasos anteriores,reforma,1659,"<100
",<1,4,feminino div/dep/cas,nao,2,29,nenhum,alugada,1,nao qualificado,1,1,0,0
468,48,Atrasos anteriores,reforma,7238,"Desconhecido
",>=7,3,masculino solteiro,nao,3,32,banco,proria,2,qualificado,2,0,0,1
469,33,Atrasos anteriores,abrir negocio,2764,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,26,nenhum,proria,2,qualificado,1,1,0,1
470,24,Atrasos anteriores,veiculo usado,4679,"<100
",4<=X<7,3,masculino solteiro,nao,3,35,nenhum,proria,2,nao qualificado,1,1,0,1
471,24,existentes/pagos,reforma,3092,100<=X<500,<1,3,masculino cas/viu,nao,2,22,nenhum,alugada,1,qualificado,1,1,0,0
472,6,existentes/pagos,educacao,448,"<100
",<1,4,feminino div/dep/cas,nao,4,23,nenhum,proria,1,qualificado,1,0,0,0
473,9,existentes/pagos,veiculo novo,654,"<100
",1<=X<4,4,masculino solteiro,nao,3,28,nenhum,proria,1,nao qualificado,1,0,0,0
475,18,Critico-outros creditos,reforma,1245,"<100
",1<=X<4,4,masculino cas/viu,nao,2,33,nenhum,proria,1,qualificado,1,0,0,0
476,18,sem creditos/todos pagos,moveis,3114,"<100
",<1,1,feminino div/dep/cas,nao,4,26,nenhum,alugada,1,qualificado,1,0,0,0
477,39,existentes/pagos,veiculo usado,2569,500<=X<1000,1<=X<4,4,masculino solteiro,nao,4,24,nenhum,proria,1,qualificado,1,0,0,1
478,24,existentes/pagos,reforma,5152,"<100
",4<=X<7,4,masculino solteiro,nao,2,25,banco,proria,1,qualificado,1,0,0,1
479,12,existentes/pagos,abrir negocio,1037,100<=X<500,4<=X<7,3,masculino solteiro,nao,4,39,nenhum,proria,1,nao qualificado,1,0,0,1
480,15,Critico-outros creditos,moveis,1478,"<100
",>=7,4,masculino solteiro,nao,4,44,nenhum,proria,2,qualificado,2,1,0,1
481,12,Critico-outros creditos,reforma,3573,"<100
",1<=X<4,1,feminino div/dep/cas,nao,1,23,nenhum,proria,1,nao qualificado,1,0,0,1
482,24,existentes/pagos,veiculo novo,1201,"<100
",<1,4,masculino solteiro,nao,1,26,nenhum,proria,1,qualificado,1,0,0,1
483,30,existentes/pagos,moveis,3622,>=1000,>=7,4,feminino div/dep/cas,nao,4,57,nenhum,alugada,2,qualificado,1,1,0,1
484,15,Atrasos anteriores,moveis,960,>=1000,4<=X<7,3,feminino div/dep/cas,nao,2,30,nenhum,proria,2,qualificado,1,0,0,1
485,12,Critico-outros creditos,veiculo novo,1163,500<=X<1000,1<=X<4,4,masculino solteiro,nao,4,44,nenhum,proria,1,qualificado,1,1,0,1
486,6,Atrasos anteriores,veiculo novo,1209,"<100
",Desempregado,4,masculino solteiro,nao,4,47,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
487,12,existentes/pagos,reforma,3077,"<100
",1<=X<4,2,masculino solteiro,nao,4,52,nenhum,proria,1,qualificado,1,1,0,1
488,24,existentes/pagos,veiculo novo,3757,"<100
",>=7,4,feminino div/dep/cas,co requerente,4,62,nenhum,de graca,1,qualificado,1,1,0,1
489,10,existentes/pagos,veiculo novo,1418,100<=X<500,1<=X<4,3,masculino solteiro,nao,2,35,nenhum,alugada,1,nao qualificado,1,0,1,1
490,6,existentes/pagos,veiculo novo,3518,"<100
",1<=X<4,2,masculino solteiro,sim,3,26,nenhum,alugada,1,qualificado,1,0,0,1
491,12,Critico-outros creditos,reforma,1934,"<100
",>=7,2,masculino solteiro,nao,2,26,nenhum,proria,2,qualificado,1,0,0,1
492,27,sem creditos/todos pagos,abrir negocio,8318,"<100
",>=7,2,feminino div/dep/cas,nao,4,42,nenhum,de graca,2,altamente qualificado/empresario,1,1,0,0
493,6,Critico-outros creditos,reforma,1237,100<=X<500,1<=X<4,1,feminino div/dep/cas,nao,1,27,nenhum,proria,2,qualificado,1,0,0,1
494,6,existentes/pagos,reforma,368,"Desconhecido
",>=7,4,masculino solteiro,nao,4,38,nenhum,proria,1,qualificado,1,0,0,1
495,12,Critico-outros creditos,veiculo novo,2122,"<100
",1<=X<4,3,masculino solteiro,nao,2,39,nenhum,alugada,2,nao qualificado,2,0,1,1
496,24,existentes/pagos,moveis,2996,"Desconhecido
",1<=X<4,2,masculino cas/viu,nao,4,20,nenhum,proria,1,qualificado,1,0,0,0
497,36,existentes/pagos,moveis,9034,100<=X<500,<1,4,masculino solteiro,co requerente,1,29,nenhum,alugada,1,altamente qualificado/empresario,1,1,0,0
498,24,Critico-outros creditos,moveis,1585,"<100
",4<=X<7,4,masculino solteiro,nao,3,40,nenhum,proria,2,qualificado,1,0,0,1
500,6,Critico-outros creditos,veiculo novo,1323,100<=X<500,>=7,2,maculino div/dep,nao,4,28,nenhum,proria,2,qualificado,2,1,0,1
501,24,existentes/pagos,veiculo novo,3123,"<100
",<1,4,feminino div/dep/cas,nao,1,27,nenhum,proria,1,qualificado,1,0,0,0
502,36,existentes/pagos,veiculo usado,5493,"<100
",>=7,2,masculino solteiro,nao,4,42,nenhum,de graca,1,qualificado,2,0,0,1
503,9,existentes/pagos,reforma,1126,100<=X<500,>=7,2,maculino div/dep,nao,4,49,nenhum,proria,1,qualificado,1,0,0,1
504,24,Critico-outros creditos,reforma,1216,100<=X<500,<1,4,masculino solteiro,nao,4,38,banco,proria,2,qualificado,2,0,0,0
506,10,existentes/pagos,veiculo novo,1309,"Desconhecido
",1<=X<4,4,masculino solteiro,sim,4,27,nenhum,proria,1,nao qualificado,1,0,0,0
507,15,Critico-outros creditos,veiculo usado,2360,500<=X<1000,1<=X<4,2,masculino solteiro,nao,2,36,nenhum,proria,1,qualificado,1,1,0,1
508,15,todos pagos,veiculo novo,6850,100<=X<500,Desempregado,1,masculino solteiro,nao,2,34,nenhum,proria,1,altamente qualificado/empresario,2,1,0,0
509,24,existentes/pagos,reforma,1413,"<100
",1<=X<4,4,masculino cas/viu,nao,2,28,nenhum,proria,1,qualificado,1,0,0,1
510,39,existentes/pagos,veiculo usado,8588,100<=X<500,>=7,4,masculino solteiro,nao,2,45,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
511,12,existentes/pagos,veiculo novo,759,"<100
",4<=X<7,4,masculino solteiro,nao,2,26,nenhum,proria,1,qualificado,1,0,0,0
512,36,existentes/pagos,veiculo usado,4686,"<100
",1<=X<4,2,masculino solteiro,nao,2,32,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,1
513,15,existentes/pagos,abrir negocio,2687,"<100
",4<=X<7,2,masculino solteiro,nao,4,26,nenhum,alugada,1,qualificado,1,1,0,1
514,12,Atrasos anteriores,reforma,585,"<100
",1<=X<4,4,masculino cas/viu,nao,4,20,nenhum,alugada,2,qualificado,1,0,0,1
515,24,existentes/pagos,veiculo novo,2255,"Desconhecido
",<1,4,masculino solteiro,nao,1,54,nenhum,proria,1,qualificado,1,0,0,1
516,6,Critico-outros creditos,veiculo novo,609,"<100
",4<=X<7,4,feminino div/dep/cas,nao,3,37,nenhum,proria,2,qualificado,1,0,1,1
517,6,Critico-outros creditos,veiculo novo,1361,"<100
",<1,2,masculino solteiro,nao,4,40,nenhum,proria,1,nao qualificado,2,0,1,1
518,36,Critico-outros creditos,moveis,7127,"<100
",<1,2,feminino div/dep/cas,nao,4,23,nenhum,alugada,2,qualificado,1,1,0,0
519,6,existentes/pagos,veiculo novo,1203,100<=X<500,>=7,3,masculino solteiro,nao,2,43,nenhum,proria,1,qualificado,1,1,0,1
520,6,Critico-outros creditos,reforma,700,"Desconhecido
",>=7,4,masculino solteiro,nao,4,36,nenhum,de graca,2,qualificado,1,0,0,1
521,24,Critico-outros creditos,reforma casa,5507,"<100
",>=7,3,masculino solteiro,nao,4,44,nenhum,de graca,2,qualificado,1,0,0,1
522,18,existentes/pagos,reforma,3190,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,24,nenhum,proria,1,qualificado,1,0,0,0
523,48,sem creditos/todos pagos,moveis,7119,"<100
",1<=X<4,3,masculino solteiro,nao,4,53,nenhum,de graca,2,qualificado,2,0,0,0
524,24,existentes/pagos,veiculo usado,3488,100<=X<500,4<=X<7,3,feminino div/dep/cas,nao,4,23,nenhum,proria,1,qualificado,1,0,0,1
525,18,existentes/pagos,reforma,1113,"<100
",1<=X<4,4,feminino div/dep/cas,sim,4,26,nenhum,proria,1,nao qualificado,2,0,0,1
526,26,existentes/pagos,veiculo usado,7966,"<100
",<1,2,masculino solteiro,nao,3,30,nenhum,proria,2,qualificado,1,0,0,1
527,15,Critico-outros creditos,educacao,1532,100<=X<500,1<=X<4,4,feminino div/dep/cas,nao,3,31,nenhum,proria,1,qualificado,1,0,0,1
528,4,Critico-outros creditos,reforma,1503,"<100
",4<=X<7,2,masculino solteiro,nao,1,42,nenhum,proria,2,nao qualificado,2,0,0,1
529,36,existentes/pagos,reforma,2302,"<100
",1<=X<4,4,maculino div/dep,nao,4,31,nenhum,alugada,1,qualificado,1,0,0,0
530,6,existentes/pagos,veiculo novo,662,"<100
",<1,3,masculino solteiro,nao,4,41,nenhum,proria,1,nao qualificado,2,1,0,1
531,36,existentes/pagos,educacao,2273,"<100
",4<=X<7,3,masculino solteiro,nao,1,32,nenhum,proria,2,qualificado,2,0,0,1
532,15,existentes/pagos,veiculo novo,2631,100<=X<500,1<=X<4,2,feminino div/dep/cas,nao,4,28,nenhum,alugada,2,qualificado,1,1,0,0
533,12,Atrasos anteriores,veiculo usado,1503,"<100
",1<=X<4,4,masculino cas/viu,nao,4,41,nenhum,alugada,1,qualificado,1,0,0,1
534,24,existentes/pagos,reforma,1311,100<=X<500,4<=X<7,4,masculino cas/viu,nao,3,26,nenhum,proria,1,qualificado,1,1,0,1
535,24,existentes/pagos,reforma,3105,"Desconhecido
",<1,4,masculino solteiro,nao,2,25,nenhum,proria,2,qualificado,1,0,0,1
536,21,Critico-outros creditos,educacao,2319,"<100
",<1,2,maculino div/dep,nao,1,33,nenhum,alugada,1,qualificado,1,0,0,0
537,6,existentes/pagos,veiculo novo,1374,"Desconhecido
",Desempregado,4,feminino div/dep/cas,nao,3,75,nenhum,proria,1,altamente qualificado/empresario,1,1,0,1
538,18,Critico-outros creditos,moveis,3612,"<100
",>=7,3,feminino div/dep/cas,nao,4,37,nenhum,proria,1,qualificado,1,1,0,1
539,48,existentes/pagos,veiculo novo,7763,"<100
",>=7,4,masculino solteiro,nao,4,42,banco,de graca,1,altamente qualificado/empresario,1,0,0,0
540,18,existentes/pagos,moveis,3049,"<100
",<1,1,feminino div/dep/cas,nao,1,45,loja,proria,1,nao qualificado,1,0,0,1
541,12,existentes/pagos,reforma,1534,"<100
",<1,1,masculino cas/viu,nao,1,23,nenhum,alugada,1,qualificado,1,0,0,0
542,24,Atrasos anteriores,veiculo novo,2032,"<100
",>=7,4,masculino solteiro,nao,4,60,nenhum,de graca,2,qualificado,1,1,0,1
543,30,existentes/pagos,moveis,6350,"Desconhecido
",>=7,4,masculino solteiro,nao,4,31,nenhum,proria,1,qualificado,1,0,0,0
544,18,existentes/pagos,moveis,2864,"<100
",1<=X<4,2,masculino solteiro,nao,1,34,nenhum,proria,1,nao qualificado,2,0,0,0
545,12,Critico-outros creditos,veiculo novo,1255,"<100
",>=7,4,masculino solteiro,nao,4,61,nenhum,proria,2,nao qualificado,1,0,0,1
546,24,Atrasos anteriores,veiculo novo,1333,"<100
",Desempregado,4,masculino solteiro,nao,2,43,nenhum,de graca,2,qualificado,2,0,0,0
547,24,Critico-outros creditos,veiculo novo,2022,"<100
",1<=X<4,4,feminino div/dep/cas,nao,4,37,nenhum,proria,1,qualificado,1,1,0,1
548,24,existentes/pagos,reforma,1552,"<100
",4<=X<7,3,masculino solteiro,nao,1,32,banco,proria,1,qualificado,2,0,0,1
549,12,todos pagos,reforma,626,"<100
",1<=X<4,4,feminino div/dep/cas,nao,4,24,banco,proria,1,nao qualificado,1,0,0,0
550,48,Critico-outros creditos,veiculo usado,8858,"Desconhecido
",4<=X<7,2,masculino solteiro,nao,1,35,nenhum,de graca,2,qualificado,1,1,0,1
551,12,Critico-outros creditos,reforma casa,996,"Desconhecido
",4<=X<7,4,feminino div/dep/cas,nao,4,23,nenhum,proria,2,qualificado,1,0,0,1
552,6,todos pagos,reforma,1750,500<=X<1000,>=7,2,masculino solteiro,nao,4,45,banco,proria,1,nao qualificado,2,0,0,1
553,48,existentes/pagos,reforma,6999,"<100
",4<=X<7,1,masculino cas/viu,sim,1,34,nenhum,proria,2,qualificado,1,1,0,0
554,12,Critico-outros creditos,veiculo novo,1995,100<=X<500,<1,4,masculino solteiro,nao,1,27,nenhum,proria,1,qualificado,1,0,0,1
555,9,existentes/pagos,educacao,1199,"<100
",4<=X<7,4,feminino div/dep/cas,nao,4,67,nenhum,proria,2,altamente qualificado/empresario,1,1,0,1
556,12,existentes/pagos,reforma,1331,"<100
",<1,2,masculino solteiro,nao,1,22,loja,proria,1,qualificado,1,0,0,0
557,18,sem creditos/todos pagos,veiculo novo,2278,100<=X<500,<1,3,feminino div/dep/cas,nao,3,28,nenhum,proria,2,qualificado,1,0,0,0
558,21,sem creditos/todos pagos,veiculo novo,5003,"Desconhecido
",1<=X<4,1,feminino div/dep/cas,nao,4,29,banco,proria,2,qualificado,1,1,0,0
559,24,todos pagos,moveis,3552,"<100
",4<=X<7,3,masculino solteiro,nao,4,27,banco,proria,1,qualificado,1,0,0,0
560,18,Critico-outros creditos,moveis,1928,"<100
",<1,2,masculino solteiro,nao,2,31,nenhum,proria,2,nao qualificado,1,0,0,0
561,24,existentes/pagos,veiculo usado,2964,"Desconhecido
",>=7,4,masculino solteiro,nao,4,49,banco,de graca,1,qualificado,2,1,0,1
562,24,todos pagos,reforma,1546,"<100
",4<=X<7,4,masculino solteiro,sim,4,24,banco,alugada,1,nao qualificado,1,0,0,0
563,6,Atrasos anteriores,reforma,683,"<100
",<1,2,feminino div/dep/cas,nao,1,29,banco,proria,1,qualificado,1,0,0,1
564,36,existentes/pagos,veiculo novo,12389,"Desconhecido
",1<=X<4,1,masculino solteiro,nao,4,37,nenhum,de graca,1,qualificado,1,1,0,0
